,utility,fairness,min_utility,objective,variance,beta,base_beta
0,1254.6,-285.5981912144375,0.0,1254.6,35843.371999999996,0.0,0.0
1,1253.68,-285.2941542834069,0.0,1217.9037976,35776.202399999995,0.001,0.0
2,1256.68,-284.9613287862563,0.0,1185.0430999999999,35818.45,0.002,0.0
3,1253.06,-285.26827762042683,0.02,1145.7666542,35764.4486,0.003,0.0
4,1259.42,-287.8385185464642,0.0,1114.3874744,36258.1314,0.004,0.0
5,1258.78,-284.7229790879656,0.0,1079.550765,35845.847,0.005,0.0
6,1259.36,-284.58276466800083,0.0,1044.2589752,35850.17080000001,0.006,0.0
7,1254.08,-282.8469197268152,0.0,1005.738732,35477.324,0.007000000000000001,0.0
8,1250.38,-280.78977963204676,0.0,969.4404560000002,35117.443,0.008,0.0
9,1256.96,-283.42678746421694,0.0,936.3015451999999,35628.7172,0.009000000000000001,0.0
10,1254.56,-286.7673482094573,0.0,894.6548720000001,35990.512800000004,0.01,0.0
11,1247.22,-281.7679744374997,0.04,543.9930280000001,35161.3486,0.02,0.0
12,1249.32,-281.52702216717523,0.0,192.567684,35225.0772,0.03,0.0
13,1225.92,-278.0812006435078,0.06,-141.89270400000004,34195.3176,0.04,0.0
14,1217.0,-270.5154789137896,0.12,-435.71848000000006,33054.3696,0.04999999999999999,0.0
15,1205.16,-260.05514107454076,0.32,-686.2350960000002,31523.251599999996,0.06,0.0
16,1192.54,-255.55737480933723,0.28,-955.9283220000002,30692.404599999998,0.07,0.0
17,1156.82,-227.52598994168528,0.68,-987.3413600000002,26802.017000000007,0.08,0.0
18,1118.28,-220.15229296666624,0.76,-1122.874224,24901.713600000003,0.08999999999999998,0.0
19,1101.6,-209.3286556338324,1.26,-1259.03816,23606.3816,0.09999999999999998,0.0
20,940.5,-138.4843942710327,7.44,-1883.0993200000003,14117.996600000002,0.19999999999999996,0.0
21,752.08,-76.63720214848463,14.9,-1044.5116400000004,5988.6388,0.30000000000000004,0.0
22,635.44,-55.34007447458087,15.56,-774.5667200000003,3525.0168,0.3999999999999999,0.0
23,607.68,-43.17842266725951,19.06,-695.5166,2606.3932,0.5,0.0
24,601.5,-42.17891702451321,18.9,-922.2565200000004,2539.5942,0.6000000000000001,0.0
25,602.88,-42.03227759607012,19.12,-1183.9786400000003,2552.6551999999997,0.7000000000000002,0.0
26,583.38,-40.536524484535796,18.54,-1322.60544,2382.4818,0.7999999999999998,0.0
27,599.74,-41.40614601710112,19.34,-1654.19606,2504.3733999999995,0.9,0.0
28,565.68,-38.64351832223721,18.3,-1628.4448000000004,2194.1248,1.0,0.0
29,496.48,-33.03009029948725,16.28,-2787.6856,1642.0828,2.0,0.0
30,579.98,-12.59396946847133,42.6,-2064.155,528.827,5.0,0.0
31,643.38,-2.4565588564858287,59.68,-357.7859999999999,100.1166,10.0,0.0
32,1267.22,-196.23813337431412,0.0,1267.22,24869.500199999995,0.0,0.001
33,1268.68,-202.1754909968469,0.0,1243.0105356,25669.464399999993,0.001,0.001
34,1265.1,-195.83699729520924,0.02,1215.5150612,24792.469400000005,0.002,0.001
35,1265.32,-199.2221065996172,0.02,1189.6391656,25226.9448,0.003,0.001
36,1268.32,-198.02830029872985,0.0,1167.8419376000002,25119.515599999995,0.004,0.001
37,1270.34,-202.08573592190874,0.0,1141.992727,25669.4546,0.005,0.001
38,1271.12,-189.7977335098267,0.0,1126.3136648,24134.389199999994,0.006,0.001
39,1267.66,-198.20033132145232,0.0,1091.7400865999998,25131.416199999996,0.007000000000000001,0.001
40,1265.34,-190.7317239546267,0.0,1072.1978192000001,24142.772599999997,0.008,0.001
41,1268.52,-204.86558796516695,0.02,1034.6694252,25983.397199999996,0.009000000000000001,0.001
42,1260.98,-200.34430091711525,0.04,1007.7102819999999,25326.971799999996,0.01,0.001
43,1255.78,-189.9039914297205,0.08,776.4151880000001,23968.2406,0.02,0.001
44,1263.4,-197.13729318064648,0.1,513.942508,24981.9164,0.03,0.001
45,1254.92,-193.18114194079365,0.28,280.89948799999996,24350.512799999997,0.04,0.001
46,1226.7,-183.97609912964614,0.7,86.46480999999994,22804.7038,0.04999999999999999,0.001
47,1097.46,-156.0910112980522,3.4,38.94474000000003,17641.921,0.06,0.001
48,999.88,-128.36991748145135,6.36,83.90600399999988,13085.342800000002,0.07,0.001
49,965.22,-121.13662961915276,8.14,10.701967999999997,11931.475400000001,0.08,0.001
50,930.68,-114.0898559338687,9.18,-37.075239999999965,10752.836000000001,0.08999999999999998,0.001
51,916.32,-110.43619894683579,10.86,-120.54620000000008,10368.662,0.09999999999999998,0.001
52,814.5,-59.43328702227544,24.64,-156.34540000000007,4854.227,0.19999999999999996,0.001
53,804.94,-45.30773447636609,30.64,-288.1383800000001,3643.5946000000004,0.30000000000000004,0.001
54,834.12,-32.83052691899597,33.98,-256.68800000000005,2727.02,0.3999999999999999,0.001
55,840.2,-21.911704477006293,33.1,-73.2476,1826.8952000000002,0.5,0.001
56,870.82,-11.721987563293297,37.76,261.95427999999987,1014.7762000000001,0.6000000000000001,0.001
57,897.8,-7.125652678269228,45.74,453.8952799999999,634.1496,0.7000000000000002,0.001
58,916.8,-2.178511022570413,63.64,759.0556799999999,197.18040000000005,0.7999999999999998,0.001
59,920.06,-1.020838686197667,78.58,842.69042,85.96619999999999,0.9,0.001
60,928.92,-0.31179617374636825,89.4,906.0044,22.915599999999998,1.0,0.001
61,603.34,-0.19569131946332582,58.64,582.4227999999999,10.458599999999999,2.0,0.001
62,305.52,-1.9248797564872115,24.94,103.33,40.438,5.0,0.001
63,229.52,-3.1403500924182306,16.56,-322.808,55.232800000000005,10.0,0.001
64,1214.82,-237.79105889269,0.24,1214.82,29101.917799999992,0.0,0.01
65,1225.2,-239.45451530460625,0.04,1195.7602864,29439.7136,0.001,0.01
66,1215.66,-230.06333956900235,0.14,1159.5460876,28056.9562,0.002,0.01
67,1191.66,-223.49508779868313,0.12,1109.7227561999998,27312.4146,0.003,0.01
68,1234.54,-243.2310548581359,0.02,1114.0506376,30122.3406,0.004,0.01
69,1232.0,-238.74063833534464,0.06,1084.432892,29513.4216,0.005,0.01
70,1200.14,-235.45423849482233,0.34,1029.1868372,28492.193799999997,0.006,0.01
71,1215.3,-236.97239330929253,0.02,1011.8410366,29065.566199999997,0.007000000000000001,0.01
72,1198.38,-236.64479777900544,0.12,968.9987472,28672.656600000002,0.008,0.01
73,1223.94,-229.87682743829845,0.06,969.9658374,28219.3514,0.009000000000000001,0.01
74,1207.92,-247.8786776563438,0.12,906.971364,30094.863599999997,0.01,0.01
75,1198.64,-239.92452430332094,0.2,617.7533199999999,29044.334,0.02,0.01
76,1213.82,-238.2327741396879,0.16,341.111702,29090.2766,0.03,0.01
77,1203.46,-224.93094552882093,0.2,114.79015199999998,27216.7462,0.04,0.01
78,1210.0,-231.7397508168259,0.36,-201.2929200000001,28225.858399999997,0.04999999999999999,0.01
79,1195.14,-227.23934415447718,0.16,-462.4616279999999,27626.693800000005,0.06,0.01
80,1172.44,-220.2608369234479,0.64,-658.5678920000001,26157.2556,0.07,0.01
81,1179.96,-216.19654143104304,0.42,-885.3538880000001,25816.423600000002,0.08,0.01
82,1173.56,-222.00593436331732,1.02,-1232.7997719999998,26737.330799999996,0.08999999999999998,0.01
83,1167.9,-217.53753361011925,0.74,-1423.6552600000002,25915.5526,0.09999999999999998,0.01
84,944.24,-132.33068738231705,5.88,-1589.6880800000001,12669.640399999998,0.19999999999999996,0.01
